Emotion;F;df_between;df_within;p;p_formatted
disgust;23,36226351;7;784;6,58722E-29;< .001
anger;19,59082795;7;784;2,96082E-24;< .001
love;17,84420727;7;784;4,58014E-22;< .001
joy;13,51546649;7;784;1,49265E-16;< .001
optimism;12,84089104;7;784;1,10373E-15;< .001
trust;12,78539102;7;784;1,30152E-15;< .001
pessimism;6,316127605;7;784;3,12373E-07;< .001
sadness;4,673836032;7;784;3,80246E-05;< .001
fear;4,264222624;7;784;0,000122893;< .001
anticipation;3,23149839;7;784;0,002191757;0.002
surprise;2,87535833;7;784;0,005708134;0.006
