,sadness,disgust,anger,pessimism,fear,anticipation,joy,optimism,surprise,love,trust
sadness,1.0,-0.13707221979143094,-0.24702665521799086,0.775540556557259,-0.026580836416849486,-0.3971463529714739,-0.3266416611392236,-0.33842077411431526,-0.22310789110556126,-0.10536900385874311,-0.29360259258156635
disgust,-0.13707221979143094,1.0,0.9758884403424808,-0.3378521280346008,-0.22249469453630885,-0.35080795087601946,-0.33770945737193175,-0.48781394918595455,-0.015509079857341478,-0.3524724374314317,-0.4325635692093201
anger,-0.24702665521799086,0.9758884403424808,1.0,-0.4435836952382711,-0.2925338764537624,-0.3227632126895105,-0.23865086740308125,-0.3495441533820444,-0.06217570217934545,-0.29959476120529327,-0.3465581029707132
pessimism,0.775540556557259,-0.3378521280346008,-0.4435836952382711,1.0,0.17772691345489064,-0.1632364924287286,-0.4545440428535262,-0.25774373460747757,-0.22462651157742075,-0.19109985492890372,-0.19733972393689675
fear,-0.026580836416849486,-0.22249469453630885,-0.2925338764537624,0.17772691345489064,1.0,-0.06535717243601287,-0.2981522209236415,-0.20083822534163392,0.035335557136521346,-0.10390790930018116,-0.11630931887495975
anticipation,-0.3971463529714739,-0.35080795087601946,-0.3227632126895105,-0.1632364924287286,-0.06535717243601287,1.0,0.1737215956951902,0.35308208130394503,0.4561792118347903,0.023730688251402732,0.3648680674011978
joy,-0.3266416611392236,-0.33770945737193175,-0.23865086740308125,-0.4545440428535262,-0.2981522209236415,0.1737215956951902,1.0,0.6270511470225687,0.16213461976447516,0.6338423884600494,0.5466270626949381
optimism,-0.33842077411431526,-0.48781394918595455,-0.3495441533820444,-0.25774373460747757,-0.20083822534163392,0.35308208130394503,0.6270511470225687,1.0,-0.07415691071025092,0.4312785998206002,0.7403354312723293
surprise,-0.22310789110556126,-0.015509079857341478,-0.06217570217934545,-0.22462651157742075,0.035335557136521346,0.4561792118347903,0.16213461976447516,-0.07415691071025092,1.0,0.07192538396742461,0.044944558344122705
love,-0.10536900385874311,-0.3524724374314317,-0.29959476120529327,-0.19109985492890372,-0.10390790930018116,0.023730688251402732,0.6338423884600494,0.4312785998206002,0.07192538396742461,1.0,0.5938822723630948
trust,-0.29360259258156635,-0.4325635692093201,-0.3465581029707132,-0.19733972393689675,-0.11630931887495975,0.3648680674011978,0.5466270626949381,0.7403354312723293,0.044944558344122705,0.5938822723630948,1.0
